app,bundle_id,app_bundle,app_bundle_kb,cache_like,cache_like_kb,support_container,support_container_kb,total_related_kb,path,matched_library_paths
Google Chrome,com.google.Chrome,1.3 GiB,1406212,3.2 GiB,3397012,12.8 GiB,13380816,16777828,/Applications/Google Chrome.app,/Users/yaniv/Library/Application Support/Google/Chrome; /Users/yaniv/Library/Application Support/Google/Chrome Canary; /Users/yaniv/Library/Caches/Google/Chrome; /Users/yaniv/Library/Caches/Google/Chrome Canary; /Users/yaniv/Library/Caches/chrome_crashpad_handler; +2 more
Google Chrome Canary,com.google.Chrome.canary,2.0 GiB,2091784,19.2 MiB,19668,4.6 GiB,4801208,4820876,/Applications/Google Chrome Canary.app,/Users/yaniv/Library/Application Support/Google/Chrome Canary; /Users/yaniv/Library/Caches/Google/Chrome Canary
Arc,company.thebrowser.Browser,824.3 MiB,844056,1.7 GiB,1780288,2.1 GiB,2231632,4011920,/Applications/Arc.app,/Users/yaniv/Library/Application Support/Arc; /Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser; /Users/yaniv/Library/Application Support/Comet/BrowserMetrics; /Users/yaniv/Library/Application Support/Microsoft Edge/BrowserMetrics; /Users/yaniv/Library/Application Support/com.openai.atlas/browser-data; +21 more
Rancher Desktop,io.rancherdesktop.app,1.4 GiB,1510808,1.4 GiB,1430984,2.3 GiB,2404620,3835604,/Applications/Rancher Desktop.app,/Users/yaniv/Library/Application Support/Rancher Desktop; /Users/yaniv/Library/Application Support/Rancher Desktop/Cache; /Users/yaniv/Library/Application Support/Rancher Desktop/Code Cache; /Users/yaniv/Library/Application Support/Rancher Desktop/DawnGraphiteCache; /Users/yaniv/Library/Application Support/Rancher Desktop/DawnWebGPUCache; +17 more
Microsoft Edge,com.microsoft.edgemac,1.0 GiB,1091760,407.8 MiB,417608,2.8 GiB,2987352,3404960,/Applications/Microsoft Edge.app,/Users/yaniv/Library/Application Support/Microsoft/EdgeUpdater; /Users/yaniv/Library/Application Support/Microsoft Edge; /Users/yaniv/Library/Application Support/Microsoft Edge/Ad Blocking; /Users/yaniv/Library/Application Support/Microsoft Edge/AmountExtractionHeuristicRegexes; /Users/yaniv/Library/Application Support/Microsoft Edge/AutoLaunchProtocolsComponent; +55 more
Brave Browser,com.brave.Browser,385.2 MiB,394484,316.4 MiB,324028,1.6 GiB,1726868,2050896,/Applications/Brave Browser.app,/Users/yaniv/Library/Application Support/BraveSoftware/Brave-Browser; /Users/yaniv/Library/Application Support/Comet/BrowserMetrics; /Users/yaniv/Library/Application Support/Microsoft Edge/BrowserMetrics; /Users/yaniv/Library/Application Support/com.openai.atlas/browser-data; /Users/yaniv/Library/Caches/BraveSoftware/Brave-Browser; +19 more
Code,com.microsoft.VSCode,624.8 MiB,639764,1.3 GiB,1331392,697.5 MiB,714212,2045604,/Applications/Visual Studio Code.app,/Users/yaniv/Library/Application Support/Code; /Users/yaniv/Library/Caches/com.microsoft.VSCode; /Users/yaniv/Library/Caches/com.microsoft.VSCode/fsCachedData; /Users/yaniv/Library/Caches/com.microsoft.VSCode.ShipIt; /Users/yaniv/Library/Caches/com.microsoft.VSCode.ShipIt/update.Ji1uvg1; +6 more
Code - Insiders,com.microsoft.VSCodeInsiders,622.2 MiB,637108,673.9 MiB,690104,1.1 GiB,1128480,1818584,/Applications/Visual Studio Code - Insiders.app,/Users/yaniv/Library/Application Support/Code - Insiders; /Users/yaniv/Library/Application Support/Code - Insiders/Backups; /Users/yaniv/Library/Application Support/Code - Insiders/Cache; /Users/yaniv/Library/Application Support/Code - Insiders/CachedConfigurations; /Users/yaniv/Library/Application Support/Code - Insiders/CachedData; +20 more
Telegram,ru.keepcoder.Telegram,298.6 MiB,305792,0 B,0,1.0 GiB,1050660,1050660,/Applications/Telegram.app,/Users/yaniv/Library/Containers/ru.keepcoder.Telegram; /Users/yaniv/Library/Containers/ru.keepcoder.Telegram/Data/Library/Application Support; /Users/yaniv/Library/Containers/ru.keepcoder.Telegram/Data/Library/Caches; /Users/yaniv/Library/Containers/ru.keepcoder.Telegram/Data/Library/HTTPStorages; /Users/yaniv/Library/Containers/ru.keepcoder.Telegram.TelegramShare; +3 more
Firefox,org.mozilla.firefox,477.2 MiB,488616,788.6 MiB,807568,152.2 MiB,155872,963440,/Applications/Firefox.app,/Users/yaniv/Library/Application Support/Firefox; /Users/yaniv/Library/Application Support/Firefox/Crash Reports; /Users/yaniv/Library/Application Support/Firefox/Pending Pings; /Users/yaniv/Library/Application Support/Firefox/Profile Groups; /Users/yaniv/Library/Application Support/Firefox/Profiles; +4 more
Comet,ai.perplexity.comet,0 B,0,148.4 MiB,151964,781.7 MiB,800472,952436,/Applications/Comet.app,/Users/yaniv/Library/Application Support/Comet; /Users/yaniv/Library/Caches/Comet
Codex,com.openai.codex,790.7 MiB,809688,792.6 MiB,811608,8.4 MiB,8572,820180,/Applications/Codex.app,/Users/yaniv/Library/Application Support/Codex; /Users/yaniv/Library/Caches/com.openai.codex; /Users/yaniv/Library/Caches/com.openai.codex/fsCachedData; /Users/yaniv/Library/Caches/com.openai.codex/org.sparkle-project.Sparkle; /Users/yaniv/Library/HTTPStorages/com.openai.codex; +2 more
zoom.us,us.zoom.xos,772.3 MiB,790880,12.3 MiB,12596,331.1 MiB,338996,351592,/Applications/zoom.us.app,/Users/yaniv/Library/Application Support/zoom.us; /Users/yaniv/Library/Application Support/zoom.us/CefPlugin; /Users/yaniv/Library/Application Support/zoom.us/asr; /Users/yaniv/Library/Application Support/zoom.us/data; /Users/yaniv/Library/Caches/us.zoom.xos; +10 more
Opera,com.operasoftware.Opera,600.3 MiB,614664,156.0 MiB,159716,176.4 MiB,180612,340328,/Applications/Opera.app,/Users/yaniv/Library/Application Support/com.operasoftware.Opera; /Users/yaniv/Library/Application Support/com.operasoftware.Opera/AmountExtractionHeuristicRegexes; /Users/yaniv/Library/Application Support/com.operasoftware.Opera/CertificateRevocation; /Users/yaniv/Library/Application Support/com.operasoftware.Opera/Crash Reports; /Users/yaniv/Library/Application Support/com.operasoftware.Opera/Default; +17 more
Dia,company.thebrowser.dia,1.2 GiB,1232492,163.6 MiB,167512,127.0 MiB,130004,297516,/Applications/Dia.app,/Users/yaniv/Library/Application Support/Dia; /Users/yaniv/Library/Caches/Dia; /Users/yaniv/Library/Caches/company.thebrowser.dia; /Users/yaniv/Library/Caches/company.thebrowser.dia/ModelFileCache; /Users/yaniv/Library/Caches/company.thebrowser.dia/fsCachedData; +3 more
Microsoft Word,com.microsoft.Word,2.6 GiB,2740560,0 B,0,105.6 MiB,108084,108084,/Applications/Microsoft Word.app,/Users/yaniv/Library/Containers/com.microsoft.Word; /Users/yaniv/Library/Containers/com.microsoft.Word/Data/Library/Application Support; /Users/yaniv/Library/Containers/com.microsoft.Word/Data/Library/Caches; /Users/yaniv/Library/Containers/com.microsoft.Word/Data/Library/HTTPStorages; /Users/yaniv/Library/Containers/com.microsoft.Word.widgetextension
Microsoft Outlook,com.microsoft.Outlook,2.7 GiB,2808240,0 B,0,104.4 MiB,106884,106884,/Applications/Microsoft Outlook.app,/Users/yaniv/Library/Containers/com.microsoft.Outlook; /Users/yaniv/Library/Containers/com.microsoft.Outlook/Data/Library/Application Support; /Users/yaniv/Library/Containers/com.microsoft.Outlook/Data/Library/Caches; /Users/yaniv/Library/Containers/com.microsoft.Outlook/Data/Library/HTTPStorages; /Users/yaniv/Library/Containers/com.microsoft.Outlook.CalendarWidget
Cursor,com.todesktop.230313mzl4w4u92,768.3 MiB,786768,432.0 KiB,432,51.8 MiB,53076,53508,/Applications/Cursor.app,/Users/yaniv/Library/Application Support/Cursor; /Users/yaniv/Library/Application Support/Cursor/Backups; /Users/yaniv/Library/Application Support/Cursor/Cache; /Users/yaniv/Library/Application Support/Cursor/CachedData; /Users/yaniv/Library/Application Support/Cursor/CachedExtensionVSIXs; +18 more
OneDrive,com.microsoft.OneDrive,1.4 GiB,1418376,14.4 MiB,14744,29.6 MiB,30348,45092,/Applications/OneDrive.app,/Users/yaniv/Library/Application Support/OneDrive; /Users/yaniv/Library/Application Support/OneDrive/settings; /Users/yaniv/Library/Caches/OneDrive; /Users/yaniv/Library/Caches/com.microsoft.OneDriveStandaloneUpdater; /Users/yaniv/Library/Caches/com.microsoft.OneDriveStandaloneUpdater/fsCachedData; +9 more
Microsoft Excel,com.microsoft.Excel,2.5 GiB,2584348,0 B,0,25.5 MiB,26072,26072,/Applications/Microsoft Excel.app,/Users/yaniv/Library/Containers/com.microsoft.Excel; /Users/yaniv/Library/Containers/com.microsoft.Excel/Data/Library/Application Support; /Users/yaniv/Library/Containers/com.microsoft.Excel/Data/Library/Caches; /Users/yaniv/Library/Containers/com.microsoft.Excel/Data/Library/HTTPStorages; /Users/yaniv/Library/Containers/com.microsoft.Excel.widgetextension
Slack,com.tinyspeck.slackmacgap,286.2 MiB,293036,360.0 KiB,360,19.6 MiB,20028,20388,/Applications/Slack.app,/Users/yaniv/Library/Application Support/Slack; /Users/yaniv/Library/Caches/com.tinyspeck.slackmacgap; /Users/yaniv/Library/Caches/com.tinyspeck.slackmacgap/fsCachedData; /Users/yaniv/Library/Caches/com.tinyspeck.slackmacgap.ShipIt; /Users/yaniv/Library/HTTPStorages/com.tinyspeck.slackmacgap
