kind,size,size_kb,root,depth,path,nested_under,rollup_parent
cache-like,300.7 MiB,307928,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/com.apple.textunderstandingd/com.apple.e5rt.e5bundlecache,/Users/yaniv/Library/Caches/com.apple.textunderstandingd,false
support/container,219.0 MiB,224260,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/net.whatsapp.WhatsApp,,false
support/container,198.5 MiB,203308,/Users/yaniv/Library/Containers,1,/Users/yaniv/Library/Containers/com.apple.geod,,false
cache-like,193.5 MiB,198156,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/com.oracle.java.JavaAppletPlugin/org.sparkle-project.Sparkle,/Users/yaniv/Library/Caches/com.oracle.java.JavaAppletPlugin,false
cache-like,183.7 MiB,188096,/Users/yaniv/Library/Caches,2,/Users/yaniv/Library/Caches/rancher-desktop/k3s,/Users/yaniv/Library/Caches/rancher-desktop,false
support/container,176.8 MiB,181060,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Dia/User Data,/Users/yaniv/Library/Application Support/Dia,false
cache-like,176.7 MiB,180900,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Microsoft Edge/component_crx_cache,/Users/yaniv/Library/Application Support/Microsoft Edge,false
support/container,169.1 MiB,173144,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/zoom.us/asr,/Users/yaniv/Library/Application Support/zoom.us,false
support/container,168.6 MiB,172644,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Microsoft Edge/ProvenanceData,/Users/yaniv/Library/Application Support/Microsoft Edge,false
support/container,162.0 MiB,165848,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/zoom.us/data,/Users/yaniv/Library/Application Support/zoom.us,false
cache-like,159.3 MiB,163116,/Users/yaniv/Library/Application Support,2,/Users/yaniv/Library/Application Support/Code/Cache,/Users/yaniv/Library/Application Support/Code,false
