app,bundle_id,kind,size,size_kb,reason,path,also_matched_by
OBS Studio,com.obsproject.obs-studio,cache-like,396.0 KiB,396,bundle-id cache,/Users/yaniv/Library/Caches/com.obsproject.obs-studio,
GitHub Desktop,com.github.GitHubClient,cache-like-inside-support,380.0 KiB,380,cache-like descendant,/Users/yaniv/Library/Application Support/GitHub Desktop/Cache,
LastPass,com.lastpass.lastpassmacdesktop,cache-like,360.0 KiB,360,bundle-id http storage,/Users/yaniv/Library/HTTPStorages/com.lastpass.lastpassmacdesktop,
Numbers,com.apple.iWork.Numbers,cache-like-inside-support,360.0 KiB,360,cache-like descendant,/Users/yaniv/Library/Containers/com.apple.iWork.Numbers/Data/Library/HTTPStorages,
DaVinci Resolve,com.blackmagic-design.DaVinciResolve,cache-like-inside-support,352.0 KiB,352,cache-like descendant,/Users/yaniv/Library/Application Support/Blackmagic Design/DaVinci Resolve/logs,
Code,com.microsoft.VSCode,cache-like,340.0 KiB,340,bundle-id updater cache,/Users/yaniv/Library/Caches/com.microsoft.VSCode.ShipIt,
Microsoft Outlook,com.microsoft.Outlook,cache-like-inside-support,340.0 KiB,340,cache-like descendant,/Users/yaniv/Library/Containers/com.microsoft.Outlook/Data/Library/WebKit,
Firefox,org.mozilla.firefox,cache-like-inside-support,316.0 KiB,316,cache-like descendant,/Users/yaniv/Library/Application Support/firefox/Crash Reports,
Firefox,org.mozilla.firefox,cache-like-inside-support,316.0 KiB,316,cache-like descendant,/Users/yaniv/Library/Application Support/Firefox/Crash Reports,
Code - Insiders,com.microsoft.VSCodeInsiders,cache-like,312.0 KiB,312,bundle-id updater cache,/Users/yaniv/Library/Caches/com.microsoft.VSCodeInsiders.ShipIt,
Google Chrome,com.google.Chrome,cache-like-inside-support,292.0 KiB,292,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/589/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,292.0 KiB,292,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1223/CacheStorage,
OBS Studio,com.obsproject.obs-studio,cache-like,292.0 KiB,292,bundle-id webkit,/Users/yaniv/Library/WebKit/com.obsproject.obs-studio,
Google Chrome,com.google.Chrome,cache-like-inside-support,276.0 KiB,276,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1358/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,276.0 KiB,276,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Profile 1/WebStorage/289/CacheStorage,
Microsoft Edge,com.microsoft.edgemac,cache-like,244.0 KiB,244,bundle-id http storage,/Users/yaniv/Library/HTTPStorages/com.microsoft.edgemac,
Microsoft Azure Storage Explorer,com.microsoft.StorageExplorer,cache-like,240.0 KiB,240,safe fuzzy exact/segment match,/Users/yaniv/Library/Logs/StorageExplorer,
Acrobat,com.adobe.Acrobat.Pro,cache-like,236.0 KiB,236,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/Acrobat,
Microsoft Excel,com.microsoft.Excel,cache-like-inside-support,232.0 KiB,232,cache-like descendant,/Users/yaniv/Library/Containers/com.microsoft.Excel/Data/Library/HTTPStorages,
Azure Data Studio,com.azuredatastudio.oss,cache-like,232.0 KiB,232,bundle-id http storage,/Users/yaniv/Library/HTTPStorages/com.azuredatastudio.oss,
Arc,company.thebrowser.Browser,cache-like-inside-support,228.0 KiB,228,cache-like descendant,/Users/yaniv/Library/Application Support/Arc/SidebarItemsFaviconCache,
Azure Data Studio,com.azuredatastudio.oss,cache-like-inside-support,228.0 KiB,228,cache-like descendant,/Users/yaniv/Library/Application Support/azuredatastudio/CachedExtensions,
zoom.us,us.zoom.xos,cache-like-inside-support,208.0 KiB,208,cache-like descendant,/Users/yaniv/Library/Application Support/zoom.us/data/UnifyWebView_Cache,
Microsoft Azure Storage Explorer,com.microsoft.StorageExplorer,support/container,192.0 KiB,192,safe fuzzy exact/segment match,/Users/yaniv/Library/Application Support/StorageExplorer,
ChatGPT Atlas,com.openai.atlas,cache-like-inside-support,176.0 KiB,176,cache-like descendant,/Users/yaniv/Library/Application Support/com.openai.atlas/user-fMxwuymNjvjEkjNFV9I9nGez__d16322da-45b7-4b7e-a1d9-318b0a3bff67/suggestions-cache,
Google Chrome Canary,com.google.Chrome.canary,cache-like-inside-support,172.0 KiB,172,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome Canary/Default/Shared Dictionary/cache,
Microsoft Teams classic,com.microsoft.teams,cache-like,168.0 KiB,168,bundle-id http storage,/Users/yaniv/Library/HTTPStorages/com.microsoft.teams,
Dia,company.thebrowser.dia,cache-like,168.0 KiB,168,bundle-id http storage,/Users/yaniv/Library/HTTPStorages/company.thebrowser.dia,
Gemini,com.google.GeminiMacOS,cache-like,168.0 KiB,168,bundle-id http storage,/Users/yaniv/Library/HTTPStorages/com.google.GeminiMacOS,
Cursor,com.todesktop.230313mzl4w4u92,cache-like,168.0 KiB,168,bundle-id http storage,/Users/yaniv/Library/HTTPStorages/com.todesktop.230313mzl4w4u92,
Docker,com.docker.docker,cache-like,168.0 KiB,168,bundle-id http storage,/Users/yaniv/Library/HTTPStorages/com.docker.docker,
OBS Studio,com.obsproject.obs-studio,cache-like-inside-support,168.0 KiB,168,cache-like descendant,/Users/yaniv/Library/Application Support/OBS-Studio/logs,
OBS Studio,com.obsproject.obs-studio,cache-like-inside-support,168.0 KiB,168,cache-like descendant,/Users/yaniv/Library/Application Support/obs-studio/logs,
Code,com.microsoft.VSCode,cache-like-inside-support,152.0 KiB,152,cache-like descendant,/Users/yaniv/Library/Application Support/Code/User/globalStorage/redhat.vscode-yaml/schemas_cache,
draw.io,com.jgraph.drawio.desktop,support/container,144.0 KiB,144,safe fuzzy exact/segment match,/Users/yaniv/Library/Application Support/draw.io,
Acrobat,com.adobe.Acrobat.Pro,cache-like-inside-support,144.0 KiB,144,cache-like descendant,/Users/yaniv/Library/Application Support/Adobe/Acrobat/DC/Security/CRLCache,
Opera,com.operasoftware.Opera,cache-like-inside-support,140.0 KiB,140,cache-like descendant,/Users/yaniv/Library/Application Support/com.operasoftware.Opera/Default/Shared Dictionary/cache,
ChatGPT Atlas,com.openai.atlas,cache-like-inside-support,136.0 KiB,136,cache-like descendant,/Users/yaniv/Library/Application Support/com.openai.atlas/browser-data/host/user-fMxwuymNjvjEkjNFV9I9nGez__d16322da-45b7-4b7e-a1d9-318b0a3bff67/Shared Dictionary/cache,
iMovie,com.apple.iMovieApp,support/container,132.0 KiB,132,bundle-id container,/Users/yaniv/Library/Containers/com.apple.iMovieApp,
Code,com.microsoft.VSCode,cache-like-inside-support,124.0 KiB,124,cache-like descendant,/Users/yaniv/Library/Application Support/Code/WebStorage/368/CacheStorage,
Code,com.microsoft.VSCode,cache-like-inside-support,124.0 KiB,124,cache-like descendant,/Users/yaniv/Library/Application Support/Code/WebStorage/371/CacheStorage,
Code,com.microsoft.VSCode,cache-like-inside-support,124.0 KiB,124,cache-like descendant,/Users/yaniv/Library/Application Support/Code/WebStorage/369/CacheStorage,
Code,com.microsoft.VSCode,cache-like-inside-support,124.0 KiB,124,cache-like descendant,/Users/yaniv/Library/Application Support/Code/WebStorage/372/CacheStorage,
Code,com.microsoft.VSCode,cache-like-inside-support,124.0 KiB,124,cache-like descendant,/Users/yaniv/Library/Application Support/Code/WebStorage/367/CacheStorage,
Code,com.microsoft.VSCode,cache-like-inside-support,124.0 KiB,124,cache-like descendant,/Users/yaniv/Library/Application Support/Code/WebStorage/365/CacheStorage,
Code,com.microsoft.VSCode,cache-like-inside-support,124.0 KiB,124,cache-like descendant,/Users/yaniv/Library/Application Support/Code/WebStorage/366/CacheStorage,
Code,com.microsoft.VSCode,cache-like-inside-support,124.0 KiB,124,cache-like descendant,/Users/yaniv/Library/Application Support/Code/WebStorage/370/CacheStorage,
Code,com.microsoft.VSCode,cache-like-inside-support,124.0 KiB,124,cache-like descendant,/Users/yaniv/Library/Application Support/Code/WebStorage/373/CacheStorage,
Code,com.microsoft.VSCode,cache-like-inside-support,124.0 KiB,124,cache-like descendant,/Users/yaniv/Library/Application Support/Code/WebStorage/376/CacheStorage,
Copilot,com.microsoft.copilot-mac,support/container,124.0 KiB,124,bundle-id container,/Users/yaniv/Library/Containers/com.microsoft.copilot-mac,
CapCut,com.lemon.lvoverseas,support/container,124.0 KiB,124,bundle-id container,/Users/yaniv/Library/Containers/com.lemon.lvoverseas,
Dropbox,com.getdropbox.dropbox,cache-like-inside-support,112.0 KiB,112,cache-like descendant,/Users/yaniv/Library/Application Support/Dropbox/Partitions/dbid%3Aaab1m18shwr_-aqmejz_x4z9ikekmyzumqs/Service Worker/ScriptCache,
Dropbox,com.getdropbox.dropbox,cache-like-inside-support,108.0 KiB,108,cache-like descendant,/Users/yaniv/Library/Application Support/Dropbox/Partitions/dbid%3Aaab1m18shwr_-aqmejz_x4z9ikekmyzumqs/Code Cache,
GitHub Desktop,com.github.GitHubClient,cache-like-inside-support,108.0 KiB,108,cache-like descendant,/Users/yaniv/Library/Application Support/GitHub Desktop/logs,
qBittorrent,org.qbittorrent.qBittorrent,cache-like-inside-support,92.0 KiB,92,cache-like descendant,/Users/yaniv/Library/Application Support/qbittorrent/logs,
qBittorrent,org.qbittorrent.qBittorrent,cache-like-inside-support,92.0 KiB,92,cache-like descendant,/Users/yaniv/Library/Application Support/qBittorrent/logs,
CRAX Commander,pl.ewas.Crax,support/container,84.0 KiB,84,safe fuzzy exact/segment match,/Users/yaniv/Library/Containers/pl.ewas.Crax,
Commander One,com.eltima.cmd1.mas,support/container,84.0 KiB,84,bundle-id container,/Users/yaniv/Library/Containers/com.eltima.cmd1.mas,
Dropbox,com.getdropbox.dropbox,cache-like,80.0 KiB,80,bundle-id cache,/Users/yaniv/Library/Caches/com.getdropbox.dropbox,
MacWhisper,com.goodsnooze.MacWhisper,cache-like,80.0 KiB,80,bundle-id http storage,/Users/yaniv/Library/HTTPStorages/com.goodsnooze.MacWhisper,MacWhisper Pro
Scroll Reverser,com.pilotmoon.scroll-reverser,cache-like,80.0 KiB,80,bundle-id cache,/Users/yaniv/Library/Caches/com.pilotmoon.scroll-reverser,
MacWhisper Pro,com.goodsnooze.MacWhisper,cache-like,80.0 KiB,80,bundle-id http storage,/Users/yaniv/Library/HTTPStorages/com.goodsnooze.MacWhisper,MacWhisper
GitHub Desktop,com.github.GitHubClient,cache-like,80.0 KiB,80,bundle-id http storage,/Users/yaniv/Library/HTTPStorages/com.github.GitHubClient,
Keynote,com.apple.iWork.Keynote,cache-like-inside-support,80.0 KiB,80,cache-like descendant,/Users/yaniv/Library/Containers/com.apple.iWork.Keynote/Data/Library/HTTPStorages,
Brave Browser,com.brave.Browser,cache-like,80.0 KiB,80,bundle-id cache,/Users/yaniv/Library/Caches/com.brave.Browser,
Pages,com.apple.iWork.Pages,cache-like-inside-support,80.0 KiB,80,cache-like descendant,/Users/yaniv/Library/Containers/com.apple.iWork.Pages/Data/Library/HTTPStorages,
draw.io,com.jgraph.drawio.desktop,cache-like,80.0 KiB,80,bundle-id cache,/Users/yaniv/Library/Caches/com.jgraph.drawio.desktop,
Code,com.microsoft.VSCode,cache-like-inside-support,76.0 KiB,76,cache-like descendant,/Users/yaniv/Library/Application Support/Code/CachedConfigurations,
CapCut,com.lemon.lvoverseas,cache-like-inside-support,72.0 KiB,72,cache-like descendant,/Users/yaniv/Library/Containers/com.lemon.lvoverseas/Data/Library/HTTPStorages,
Microsoft Azure Storage Explorer,com.microsoft.StorageExplorer,cache-like,72.0 KiB,72,bundle-id saved state,/Users/yaniv/Library/Saved Application State/com.microsoft.StorageExplorer.savedState,
NTFS for Mac,com.paragon-software.ntfs.fsapp,cache-like,68.0 KiB,68,bundle-id http storage,/Users/yaniv/Library/HTTPStorages/com.paragon-software.ntfs.fsapp,
Shazam,com.shazam.mac.Shazam,cache-like-inside-support,64.0 KiB,64,cache-like descendant,/Users/yaniv/Library/Containers/com.shazam.mac.Shazam/Data/Library/HTTPStorages,
Postgres,com.postgresapp.Postgres2,cache-like,56.0 KiB,56,bundle-id http storage,/Users/yaniv/Library/HTTPStorages/com.postgresapp.Postgres2,
Code,com.microsoft.VSCode,cache-like-inside-support,56.0 KiB,56,cache-like descendant,/Users/yaniv/Library/Application Support/Code/User/workspaceStorage/17183148ed1ec1c1e19b524bb846b1c9/GitHub.copilot-chat/debug-logs,
Ghostty,com.mitchellh.ghostty,cache-like,56.0 KiB,56,bundle-id http storage,/Users/yaniv/Library/HTTPStorages/com.mitchellh.ghostty,
Microsoft Outlook,com.microsoft.Outlook,cache-like-inside-support,52.0 KiB,52,cache-like descendant,/Users/yaniv/Library/Containers/com.microsoft.Outlook/Data/tmp/WebKit,
Shazam,com.shazam.mac.Shazam,support/container,52.0 KiB,52,bundle-id container,/Users/yaniv/Library/Containers/com.shazam.mac.Shazam,
Azure Data Studio,com.azuredatastudio.oss,cache-like-inside-support,48.0 KiB,48,cache-like descendant,/Users/yaniv/Library/Application Support/azuredatastudio/Service Worker/ScriptCache,
LM Studio,ai.elementlabs.lmstudio,cache-like,44.0 KiB,44,safe fuzzy exact/segment match,/Users/yaniv/Library/Logs/LM Studio,
Google Chrome,com.google.Chrome,cache-like-inside-support,44.0 KiB,44,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1264/CacheStorage,
DisplayLinkUserAgent,com.displaylink.DisplayLinkUserAgent,support/container,44.0 KiB,44,bundle-id container,/Users/yaniv/Library/Containers/com.displaylink.DisplayLinkUserAgent,
Cursor,com.todesktop.230313mzl4w4u92,cache-like,40.0 KiB,40,bundle-id updater cache,/Users/yaniv/Library/Caches/com.todesktop.230313mzl4w4u92.ShipIt,
Google Chrome,com.google.Chrome,cache-like-inside-support,36.0 KiB,36,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Guest Profile/Service Worker/ScriptCache,
Google Chrome,com.google.Chrome,cache-like-inside-support,36.0 KiB,36,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/System Profile/Service Worker/ScriptCache,
Google Chrome,com.google.Chrome,cache-like-inside-support,32.0 KiB,32,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/567/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,32.0 KiB,32,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/913/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,32.0 KiB,32,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/573/CacheStorage,
Code - Insiders,com.microsoft.VSCodeInsiders,cache-like,32.0 KiB,32,safe fuzzy exact/segment match,/Users/yaniv/Library/Caches/Code - Insiders,
Cursor,com.todesktop.230313mzl4w4u92,cache-like-inside-support,32.0 KiB,32,cache-like descendant,/Users/yaniv/Library/Application Support/Cursor/Service Worker/ScriptCache,
Azure Data Studio,com.azuredatastudio.oss,cache-like,32.0 KiB,32,bundle-id saved state,/Users/yaniv/Library/Saved Application State/com.azuredatastudio.oss.savedState,
OBS Studio,com.obsproject.obs-studio,cache-like-inside-support,32.0 KiB,32,cache-like descendant,/Users/yaniv/Library/Application Support/OBS-Studio/plugin_config/obs-browser/Cache,
OBS Studio,com.obsproject.obs-studio,cache-like-inside-support,32.0 KiB,32,cache-like descendant,/Users/yaniv/Library/Application Support/obs-studio/plugin_config/obs-browser/Cache,
Google Chrome,com.google.Chrome,cache-like-inside-support,28.0 KiB,28,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Profile 1/WebStorage/330/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,28.0 KiB,28,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/575/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,28.0 KiB,28,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Profile 1/WebStorage/285/CacheStorage,
Windows App,com.microsoft.rdc.macos,cache-like-inside-support,28.0 KiB,28,cache-like descendant,/Users/yaniv/Library/Containers/com.microsoft.rdc.macos/Data/Library/Logs,
Arc,company.thebrowser.Browser,cache-like-inside-support,28.0 KiB,28,cache-like descendant,/Users/yaniv/Library/Application Support/Arc/ArchiveItemsFaviconCache,
GarageBand,com.apple.garageband10,support/container,28.0 KiB,28,bundle-id container,/Users/yaniv/Library/Containers/com.apple.garageband10,
Blackmagic RAW Speed Test,com.blackmagic-design.BlackmagicRawSpeedTest,support/container,28.0 KiB,28,bundle-id container,/Users/yaniv/Library/Containers/com.blackmagic-design.BlackmagicRawSpeedTest,
Blackmagic RAW Player,com.blackmagic-design.BlackmagicRawPlayer,support/container,28.0 KiB,28,bundle-id container,/Users/yaniv/Library/Containers/com.blackmagic-design.BlackmagicRawPlayer,
Google Chrome,com.google.Chrome,cache-like-inside-support,24.0 KiB,24,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1452/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,24.0 KiB,24,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/649/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,24.0 KiB,24,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/935/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,24.0 KiB,24,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/592/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,24.0 KiB,24,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1459/CacheStorage,
Azure Data Studio,com.azuredatastudio.oss,cache-like,24.0 KiB,24,bundle-id updater cache,/Users/yaniv/Library/Caches/com.azuredatastudio.oss.ShipIt,
Google Chrome,com.google.Chrome,cache-like-inside-support,20.0 KiB,20,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1438/CacheStorage,
Google Chrome Canary,com.google.Chrome.canary,cache-like-inside-support,20.0 KiB,20,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome Canary/GPUPersistentCache,
GitHub Desktop,com.github.GitHubClient,cache-like,20.0 KiB,20,bundle-id saved state,/Users/yaniv/Library/Saved Application State/com.github.GitHubClient.savedState,
Microsoft Edge,com.microsoft.edgemac,cache-like-inside-support,20.0 KiB,20,cache-like descendant,/Users/yaniv/Library/Application Support/Microsoft Edge/Default/Workspaces/Logs,
Microsoft Edge,com.microsoft.edgemac,cache-like-inside-support,20.0 KiB,20,cache-like descendant,/Users/yaniv/Library/Application Support/Microsoft Edge/Default/WebStorage/59/CacheStorage,
Microsoft Edge,com.microsoft.edgemac,cache-like-inside-support,20.0 KiB,20,cache-like descendant,/Users/yaniv/Library/Application Support/Microsoft Edge/Default/WebStorage/70/CacheStorage,
DaVinci Resolve,com.blackmagic-design.DaVinciResolve,cache-like-inside-support,20.0 KiB,20,cache-like descendant,/Users/yaniv/Library/Application Support/Blackmagic Design/DaVinci Resolve/Resolve Disk Database/Resolve Projects/Users/guest/ProjectMetadataCache,
Code,com.microsoft.VSCode,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/Code/Code Cache,
LM Studio,ai.elementlabs.lmstudio,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/LM Studio/Code Cache,
Claude,com.anthropic.claudefordesktop,cache-like,16.0 KiB,16,bundle-id updater cache,/Users/yaniv/Library/Caches/com.anthropic.claudefordesktop.ShipIt,
Google Chrome,com.google.Chrome,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/628/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1485/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1312/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/601/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1422/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/614/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1217/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1378/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/576/CacheStorage,
Google Chrome,com.google.Chrome,cache-like-inside-support,16.0 KiB,16,cache-like descendant,/Users/yaniv/Library/Application Support/Google/Chrome/Default/WebStorage/1449/CacheStorage,
